Proffesion;Sex;Region;2005;2007;2009;2011
;;Челябинская область;5,931;12,645;16,63;18,740.7400
;;Чеченская Республика;;;18,902;15,398.1100
;;Чувашская Республика;7,589;11,21;20,365;12,742.4200
;;Чукотский автономный округ;24,673;29,938;42,324;54,392.4900
;;Южный федеральный  округ (с 2010 года);;;;20,707.8400
;;Южный федеральный округ (по 2009 год);7,615;12,307;14,91;
;;Ямало-Ненецкий автономный округ;27,636;22,364;42,617;37,646.7400
;;Ярославская область;8,318;11,167;14,864;22,868.2300
;мужчины;Алтайский край;9,361;13,068;18,976;28,446.8100
;;Амурская область;8,073;16,857;23,799;34,804.5400
;;Архангельская область;14,407;21,068;26,501;35,421.4400
;;Архангельская область (без АО);;;;32,830.1500
;;Астраханская область;10,664;14,95;17,142;26,431.9500
;;Белгородская область;9,587;13,886;19,787;26,646.2500
;;Брянская область;10,21;10,865;15,697;19,911.9800
;;Владимирская область;9,391;15,892;16,655;22,421.6700
;;Волгоградская область;7,319;12,119;14,43;21,375.2000
;;Вологодская область;10,319;17,729;18,005;23,643.2100
;;Воронежская область;7,359;10,937;15,425;18,007.1000
;;г.Москва;24,291;26,336;27,219;43,511.4700
;;г.Санкт-Петербург;15,523;24,412;38,536;42,010.7200
;;Дальневосточный федеральный округ;16,649;23,743;31,902;43,582.3500
;;Еврейская автономная область;10,057;16,082;34,613;27,090.7000
;;Забайкальский край;11,398;12,712;20,344;26,912.4800
;;Ивановская область;5,262;8,095;13,286;20,759.4800
;;Иркутская область;11,529;20,341;26,75;34,113.5900
;;Кабардино-Балкарская Республика;6,111;11,668;10,54;20,403.5600
;;Калининградская область;12,726;15,897;19,445;22,561.3500
;;Калужская область;9,468;15,389;15,043;23,191.6700
;;Камчатский край;19,941;24,497;37,191;58,019.8500
;;Карачаево-Черкесская Республика;5,974;7,927;10,045;11,09
;;Кемеровская область;12,034;16,376;23,66;30,822.2900
;;Кировская область;9,033;16,177;19,686;22,251.1200
;;Костромская область;8,487;13,318;14,155;19,679.5200
;;Краснодарский край;13,434;16,552;20,948;25,251.3400
;;Красноярский край;13,713;25,558;32,252;40,535.9400
;;Курганская область;4,132;10,095;17,78;33,412.6500
;;Курская область;5,491;8,182;11,527;17,888.8300
;;Ленинградская область;12,303;20,61;28,293;36,608.2100
;;Липецкая область;6,695;10,529;12,761;15,451.4400
;;Магаданская область;18,787;30,517;35,175;53,060.0300
;;Московская область;11,995;20,692;32,201;40,697.0800
;;Мурманская область;18,159;23,461;33,707;44,509.2400
;;Ненецкий авт.округ;34,155;31,208;43,693;57,821.2600
;;Нижегородская область;9,346;15,007;16,527;29,456.4200
;;Новгородская область;11,617;16,107;21,133;27,663.1700
;;Новосибирская область;10,764;14,991;21,42;29,347.7300
;;Омская область;9,599;14,669;16,764;19,388.9800
;;Оренбургская область;7,026;15,693;12,948;22,717.6000
;;Орловская область;8,75;14,963;16,482;18,644.4800
;;Пензенская область;7,453;12,135;15,328;22,795.6900
;;Пермский край;7,761;12,027;15,508;20,869.4800
;;Приволжский федеральный округ;8,066;13,942;16,993;25,450.7800
;;Приморский край;15,893;21,799;28,64;37,928.6100
;;Псковская область;5,969;13,51;14,478;23,013.8700
;;Республика Адыгея;4,442;8,809;16,989;17,372.2200
;;Республика Алтай;9,141;11,588;15,981;16,001.5800
;;Республика Башкортостан;9,786;14,501;20,657;26,644.2300
;;Республика Бурятия;6,521;16,263;28,744;33,064.5300
;;Республика Дагестан;3,516;5,978;14,247;14,412.1500
;;Республика Ингушетия;;;10,335;9,198.1800
;;Республика Калмыкия;10,266;10,102;15,837;17,392.4800
;;Республика Карелия;13,472;19,609;21,698;31,822.3200
;;Республика Коми;15,952;26,561;29,358;39,280.4700
;;Республика Марий Эл;12,019;12,748;14,159;15,058.5600
;;Республика Мордовия;7,62;8,794;11,665;16,055.8200
;;Республика Саха (Якутия);18,012;30,057;39,363;54,192.7100
;;Республика Северная Осетия - Алания;5,09;10,951;12,829;19,154.3700
;;Республика Татарстан;7,747;11,73;16,674;23,706.5500
;;Республика Тыва;5,675;13,138;12,737;17,264.1300
;;Республика Хакасия;8,765;13,032;18,733;16,084.5200
;;Российская Федерация;12,517;18,634;24,789;33,178.1500
;;Ростовская область;8,469;14,71;17,674;25,657.1700
;;Рязанская область;6,736;11,817;21,821;26,141.1700
;;Самарская область;8,633;14,937;19,934;40,361.3000
;;Саратовская область;6,53;12,454;17,062;23,117.8800
;;Сахалинская область;15,639;25,516;28,673;43,432.9000
;;Свердловская область;16,056;23,355;23,824;33,843.4600
;;Северо-Западный федеральный округ;14,427;22,283;31,297;37,334.7600
;;Северо-Кавказский федеральный округ;5,967;9,841;15,321;19,262.1000
;;Сибирский федеральный округ;11,034;17,908;24,454;32,009.8300
;;Смоленская область;7,287;10,349;13,706;15,883.3700
;;Ставропольский край;6,781;10,657;17,511;21,072.4800
;;Тамбовская область;4,504;6,37;10,052;18,721.5700
;;Тверская область;9,115;13,622;19,573;23,766.1200
;;Томская область;10,918;24,397;18,668;33,694.4900
;;Тульская область;6,779;13,222;15,821;18,724.8500
;;Тюменская область;21,843;23,447;30,71;44,346.0100
;;Тюменская область (без АО);;;;32,703.8800
;;Тюменская область (частично);;;21,545.0400;
;;Удмуртская Республика;6,505;12,261;19,511;20,348.1300
;;Ульяновская область;4,68;13,876;12,173;13,146.6200
;;Уральский федеральный округ;17,203;20,876;26,059;38,552.2400
;;Хабаровский край;17,585;19,143;34,604;39,155.8900
;;Ханты-Мансийский автономный округ-Югра;23,746;25,297;32,909;42,539.0700
;;Центральный федеральный округ;12,731;17,839;23,595;33,538.9100
;;Челябинская область;9,22;15,167;17,949;24,900.6400
;;Чеченская Республика;;;13,761;19,048.5700
;;Чувашская Республика;8,077;14,853;22,081;16,565.1600
;;Чукотский автономный округ;37,65;43,374;69,107;75,682.8900
;;Южный федеральный  округ (с 2010 года);;;;24,847.7900
;;Южный федеральный округ (по 2009 год);10,44;15,041;18,73;
;;Ямало-Ненецкий автономный округ;29,327;28,237;38,091;64,162.9200
;;Ярославская область;9,205;14,054;17,011;20,230.2900
Высшее профессиональное образование. Образование для взрослых и прочие виды образование;Всего;Алтайский край;6,523;10,182;14,988;15,734.0700
;;Амурская область;6,308;11,284;15,415;18,110.2500
;;Архангельская область;9,204;14,138;19,839;27,607.2900
;;Архангельская область (без АО);;;;27,607.2900
;;Астраханская область;5,125;7,486;12,595;12,455.2300
;;Белгородская область;7,375;11,137;15,32;21,389.0900
;;Брянская область;6,043;9,602;13,478;13,909.2600
;;Владимирская область;5,939;11,558;17,389;22,154.0100
;;Волгоградская область;5,997;10,295;14,317;15,394.0800
;;Вологодская область;7,043;11,505;16,601;17,649.2300
;;Воронежская область;5,804;9,017;12,598;14,571.6200
;;г.Москва;11,211;17,747;29,563;31,637.1100
;;г.Санкт-Петербург;9,62;16,377;22,699;26,836.5900
;;Дальневосточный федеральный округ;9,338;14,659;22,157;24,647.3700
;;Еврейская автономная область;8,335;10,826;12,399;16,237.0300
;;Забайкальский край;7,208;11,296;16,756;19,776.7000
;;Ивановская область;6,664;9,299;11,586;21,112.3500
;;Иркутская область;6,321;15,243;19,912;24,667.8900
;;Кабардино-Балкарская Республика;5,225;6,628;9,84;10,957.6200
;;Калининградская область;9,419;13,14;14,648;18,485.0800
;;Калужская область;8,58;12,631;19,335;25,057.7700
;;Камчатский край;14,505;20,114;37,648;32,489.9700
;;Карачаево-Черкесская Республика;3,729;5,61;7,257;9,259.3600
;;Кемеровская область;7,244;11,771;15,439;18,650.1100
;;Кировская область;6,656;11,181;14,4;15,963.1600
;;Костромская область;5,183;9,048;12,53;13,841.0200
;;Краснодарский край;7,471;10,953;14,844;17,373.0500
;;Красноярский край;8,268;12,56;17,608;20,861.7800
;;Курганская область;7,006;10,647;15,056;16,306.5200
;;Курская область;5,398;10,353;11,981;13,106.5300
;;Ленинградская область;11,08;13,124;14,482;18,075.4400
